id,status,source,chars,attempts,last_attempt,note
149cce4b-7421-4fc6-8841-bd40fabd4c41,ok,live,1984,1,2026-08-31T13:53:47Z,
14baa8ae-f151-483f-b5e0-77ca5086d04e,ok,live,4467,1,2026-09-01T11:40:49Z,
14e51d14-067b-43b8-80cf-dcf3c6893565,ok,live,6014,1,2026-08-31T13:53:47Z,
15940e4d-d0db-45c4-a255-0626fdac14ac,ok,wayback,3657,1,2026-09-03T11:16:36Z,http://web.archive.org/web/20260601172309id_/https://ats.rippling.com/theguarantors-open-positions/jobs/d78ec000-5f8b-43d3-9590-4eb51970e49b
16942976-6eb5-4a8a-a01f-d995f6f6e27b,ok,live,4122,1,2026-09-03T11:16:36Z,
1795d6df-fcca-45dc-836d-41a82dc36894,ok,wayback,4686,1,2026-08-31T13:53:47Z,http://web.archive.org/web/20260829182421id_/https://jobs.intuit.com/job/mountain-view/summer-2027-software-engineering-intern-full-stack/27595/99856180864
19732e66-5a0d-4db2-a039-33e752197e70,ok,live,3496,1,2026-08-31T13:53:47Z,
1af2873b-32c5-4dac-9ccb-9af00aa0c9a3,ok,live,8594,1,2026-09-01T11:40:49Z,
1cb48f29-b8a3-47e1-98f2-1a2b893d0027,ok,live,7374,1,2026-09-01T11:40:49Z,
1cf14ab5-bc9d-4842-9fb3-7f423c965a86,ok,live,5894,1,2026-09-01T11:40:49Z,
1e070356-7637-458b-b016-143243ecf95e,empty,,0,1,2026-08-31T13:53:47Z,no posting-like text above 600 chars (thin_10130c)
1f413552-77af-4f45-aecd-532852b777c8,ok,live,6310,1,2026-09-01T11:40:49Z,
1f454555-e3ae-4611-a53d-40c8d109d8c8,error,,0,1,2026-09-05T10:37:01Z,no source yielded text
204b9fba-55e9-4709-a9ba-af7bee3bca30,ok,live,3587,1,2026-09-05T10:37:01Z,
20ba2faa-8c06-4328-b38a-a1ff32e5b009,empty,,0,1,2026-08-31T13:53:47Z,no posting-like text above 600 chars (thin_239c)
2115234d-be28-4c20-b435-cbb15464dda9,ok,live,6965,3,2026-09-02T11:20:23Z,
229ace69-8177-42cc-a85f-c0517803f03b,ok,wayback,5213,1,2026-09-01T11:40:49Z,http://web.archive.org/web/20260729235549id_/https://cvshealth.wd1.myworkdayjobs.com/Private_Postings_Intern_Conversion_ONLY/job/NY---New-York/Analytics---Behavior-Change---Data-Science-Grad--Conversi
22b2d0e9-fb64-49b6-8106-e7c9fd959e61,error,,0,3,2026-09-05T10:37:01Z,http_429
243bb608-6df0-439e-aba6-649ae9e8de1f,error,,0,3,2026-09-05T10:37:01Z,http_429
24534a41-4bd7-4c4d-9ae9-8eb9bbc7c79c,ok,live,60000,1,2026-09-02T11:20:23Z,
2539c19a-bd13-4e12-b098-21cfc96b7d39,error,,0,3,2026-09-03T11:16:36Z,no source yielded text
255595f1-f6b4-4007-9563-647c8db7fae5,empty,,0,1,2026-09-01T11:40:49Z,no posting-like text above 600 chars (thin_676c)
25634961-9424-41ec-9553-925a6e400699,ok,live,4853,1,2026-09-01T11:40:49Z,
25e5cdde-2399-431a-a6d9-20218124af5f,error,,0,2,2026-09-05T10:37:01Z,http_429
26469c50-c009-48da-9415-b146a1d441df,empty,,0,1,2026-08-31T13:53:47Z,no posting-like text above 600 chars (thin_1218c)
268262ab-3056-48bd-a78d-3fe70d2fb886,error,,0,3,2026-09-04T11:19:58Z,no source yielded text
26b828f4-819c-4c9f-9d17-0cb377b3b310,ok,wayback,5146,1,2026-09-03T11:16:36Z,http://web.archive.org/web/20260527234217id_/https://gehc.wd5.myworkdayjobs.com/GEHC_ExternalSite/job/Remote/AI-Research-Intern_R4041665-1
2751af83-9f4f-48b8-8aba-6f534e9681e7,empty,,0,1,2026-08-31T13:53:47Z,no posting-like text above 600 chars (thin_2015c)
27c082da-62c4-4f26-8137-74728d05965e,error,,0,2,2026-09-05T10:37:01Z,http_429
28ba42da-8a23-42a0-8f6c-e867d40c6e48,error,,0,3,2026-09-04T11:19:58Z,http_410
28de39fe-563f-4b16-93f7-5d3bbbb04340,error,,0,3,2026-09-03T11:16:36Z,no source yielded text
2a0557a3-781a-4a1b-9313-506c5de08ec0,error,,0,3,2026-09-05T10:37:01Z,http_429
2b58f87c-45e3-47f3-8d33-ff72212accde,error,,0,3,2026-09-05T10:37:01Z,http_429
2ec22e8c-8004-46f2-943c-b71ca142908f,error,,0,3,2026-09-04T11:19:58Z,http_410
2ed62ebe-2d2b-4ccb-bf87-d9a76e9209fa,ok,live,4328,1,2026-09-02T11:20:23Z,
2eeca6bb-23cf-4253-8f33-432b24d93ab5,error,,0,3,2026-09-05T10:37:01Z,http_429
2f47de17-a088-41a1-8238-0a8713c924ae,error,,0,3,2026-09-03T11:16:36Z,no source yielded text
3072b230-244a-4010-bb65-9cb60880223b,ok,wayback,3776,1,2026-09-05T10:37:01Z,
30968849-8351-4128-a546-cd9bbad4a60c,ok,wayback,6609,1,2026-09-03T11:16:36Z,http://web.archive.org/web/20260604233104id_/https://ancestry.wd501.myworkdayjobs.com/Careers/job/Remote/Data-Science---AI-Document-Understanding--Co-op_R003371
31355168-e211-42dc-a7b5-c84567c929cc,ok,live,6293,1,2026-08-31T13:53:47Z,
3233fcfb-8678-4efa-8fe0-1034b9db4a52,error,,0,3,2026-09-03T11:16:36Z,http_410
3249364a-f140-41a7-8004-64618a2bdb78,error,,0,3,2026-09-03T11:16:36Z,no source yielded text
336fd145-0741-4f33-aaa7-51bc5107aeeb,error,,0,2,2026-09-05T10:37:01Z,http_429
33b81d4d-2080-4016-b2af-33d8a690356f,ok,live,60000,1,2026-09-02T11:20:23Z,
33d49b99-ffcc-4d51-ab65-58a97d2afbf0,error,,0,2,2026-09-05T10:37:01Z,http_429
342c3878-0f0a-4f31-b343-8989d1ef68b7,error,,0,2,2026-09-05T10:37:01Z,http_429
35880e25-246d-4a52-9e52-2241407852fd,ok,wayback,13418,1,2026-09-02T11:20:23Z,http://web.archive.org/web/20260704035642id_/https://job-boards.greenhouse.io/twosixtechnologies/jobs/6105290004
35ccd8f2-5371-4cda-9000-084c9d21fdec,error,,0,3,2026-09-05T10:37:01Z,http_429
35d8cb0a-56cf-478f-80bb-73ba1dafbac2,error,,0,3,2026-09-03T11:16:36Z,no source yielded text
365705d7-043e-406a-a42b-c1114d889dfb,error,,0,3,2026-09-03T11:16:36Z,no source yielded text
369aa379-9db8-44bd-8238-0cbf7f9c3483,ok,live,4129,1,2026-09-01T11:40:49Z,
36e8bcb9-72d6-4a77-9c62-1a92759cce36,error,,0,3,2026-09-02T11:20:23Z,no source yielded text
37f29e78-6188-4883-8606-42dcbabb6448,ok,wayback,4536,1,2026-09-03T11:16:36Z,http://web.archive.org/web/20260710212809id_/https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679434006
381e25f6-4ab5-4346-9d5a-2c6e06b792fb,empty,,0,1,2026-08-31T13:53:47Z,no posting-like text above 600 chars (thin_1946c)
38fae718-2ebc-4e97-af8f-e135cff957b4,ok,live,1532,1,2026-09-02T11:20:23Z,
39d9c34d-25c2-4b63-b896-ad1ecb98c563,ok,wayback,4720,1,2026-09-04T11:19:58Z,http://web.archive.org/web/20260519021313id_/https://jobs.ashbyhq.com/melotech/f2f3e785-12a0-4d30-be43-e6c5c119a6c2/application
39dca295-bc44-41f9-9a27-08b8a5cd9994,ok,wayback,4336,1,2026-09-04T11:19:58Z,http://web.archive.org/web/20260529182449id_/https://careers.mta.org/jobs/17700042-data-analyst-automatic-camera-enforcement-ace-emerging-talent-intern-fall
3a2e2c86-3612-46c8-891d-50a65e292f46,error,,0,3,2026-09-02T11:20:23Z,no source yielded text
3ad0c282-1052-46d1-8033-6d723edf25a5,ok,live,4175,1,2026-08-31T13:53:47Z,
3ae897a1-0ad7-410e-8882-d492c1f9e19a,ok,wayback,5228,1,2026-09-03T11:16:36Z,http://web.archive.org/web/20260720184137id_/https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679224006
3bbe3661-8a0b-43c9-a4f7-5c1b984cc3f9,ok,wayback,5428,1,2026-08-31T13:53:47Z,http://web.archive.org/web/20260814224639id_/https://amainc.wd12.myworkdayjobs.com/ama_careers/job/Hampton-VA/Computer-Science-Engineering-Intern---Computer-Vision-Applications_R-100731
3be23f9f-b730-4b41-90d4-adf9e07a393a,ok,live,1232,1,2026-09-01T11:40:49Z,
3cb15cd2-4921-403c-adee-e05fb84c6dda,error,,0,3,2026-09-04T11:19:58Z,http_410
3d5030c9-5b53-4ead-8664-250c3688b6ee,error,,0,3,2026-09-03T11:16:36Z,no source yielded text
3d503fc4-bfe2-4891-bde8-0d134e450913,error,,0,3,2026-09-05T10:37:01Z,http_429
3d88fb1f-4b46-4e88-a576-048f777a91f2,ok,live,3233,1,2026-09-01T11:40:49Z,
3e2fa4d6-9588-4f77-a073-1747d963be9e,ok,wayback,3975,1,2026-09-01T11:40:49Z,http://web.archive.org/web/20260513123625id_/https://ats.rippling.com/pendulum-intelligence-jobs/jobs/301a1742-46fd-4489-b410-6fdcac0dbe27
3ead5def-8555-40d4-817c-7435fa78e157,error,,0,3,2026-09-03T11:16:36Z,no source yielded text
