id,company_name,title,job_url,archive_url,archive_source,archive_status,scrape_status,category,date_archived
f301da26-1c76-4bd7-a703-7a4a42159c02,Output Biosciences,"Research Intern, Machine Learning",https://jobs.ashbyhq.com/output/da2723ca-a418-49f1-b7da-a4f383dd8239,https://archive.ph/9pkNi,archive.ph,success,,,2026-04-26T17:16:37Z
f9409f79-48bb-4a2c-9236-57425948e3e6,TikTok,Creative Product Operations Project Intern,https://lifeattiktok.com/search/7632363492922034485,https://web.archive.org/web/20260427145839/https://lifeattiktok.com/search/7632363492922034485,wayback,success,,,2026-04-27T14:58:39Z
048d4314-64a9-4be8-aa3d-f1e9801a7c32,Shopify,Data and Engineering Intern,https://www.shopify.com/careers/data-and-engineering-internships-fall-2026_9b2afa1b-28fa-4ae4-8f69-80ce64059065,https://archive.ph/kjrJD,archive,success,,,2026-04-27T14:56:44Z
