id,status,chars,lines,attempts,last_attempt,note
3233fcfb-8678-4efa-8fe0-1034b9db4a52,failed,0,218,1,2026-08-31T16:01:07Z,blocked (cookie/JS wall)
3249364a-f140-41a7-8004-64618a2bdb78,failed,0,108,1,2026-08-31T17:09:24Z,no posting-like text (8384c)
342c3878-0f0a-4f31-b343-8989d1ef68b7,failed,0,8,1,2026-08-31T21:00:45Z,only_8_lines
35d8cb0a-56cf-478f-80bb-73ba1dafbac2,failed,0,4,1,2026-08-31T15:30:57Z,only_4_lines
35fa357f-399d-42f3-bfc6-4e500c277ab3,ok,9039,129,1,2026-08-31T21:00:45Z,
365705d7-043e-406a-a42b-c1114d889dfb,failed,0,4,1,2026-08-31T17:00:55Z,only_4_lines
369aa379-9db8-44bd-8238-0cbf7f9c3483,failed,0,32,1,2026-08-31T15:30:57Z,only_32_lines
373a5deb-bbf5-4b5d-96cc-270362d6fba5,ok,12661,121,1,2026-09-01T05:39:09Z,
39d9c34d-25c2-4b63-b896-ad1ecb98c563,failed,0,4,1,2026-08-31T20:02:25Z,only_4_lines
3a2e2c86-3612-46c8-891d-50a65e292f46,failed,0,22,1,2026-08-31T14:00:46Z,only_22_lines
3c0eb87e-dc03-4ec2-a2f7-754825edf8ce,ok,1175,42,1,2026-08-31T13:31:31Z,
3cb15cd2-4921-403c-adee-e05fb84c6dda,failed,0,271,1,2026-08-31T18:00:50Z,blocked (cookie/JS wall)
3cb45823-f475-44c7-aaca-4a1335faf6ff,ok,9513,106,1,2026-08-31T21:00:45Z,
3d5030c9-5b53-4ead-8664-250c3688b6ee,failed,0,8,1,2026-08-31T17:09:24Z,only_8_lines
3d88fb1f-4b46-4e88-a576-048f777a91f2,failed,0,26,1,2026-08-31T15:30:57Z,only_26_lines
3ead5def-8555-40d4-817c-7435fa78e157,failed,0,8,1,2026-08-31T16:31:03Z,only_8_lines
3ebe96ab-b5a9-4ddf-99f0-9583e2226fb6,failed,0,5,1,2026-08-31T15:30:57Z,only_5_lines
3ef6005a-dc19-43a2-ae36-e463222f6fa7,failed,0,5,1,2026-08-31T21:31:22Z,only_5_lines
40c1294a-a472-402c-882b-843d26a07449,failed,0,5,1,2026-08-31T15:30:57Z,only_5_lines
4253e953-04fc-48f3-be58-728d5c241c3c,failed,0,12,1,2026-08-31T16:31:03Z,only_12_lines
4316d3b6-dc12-4c25-bb13-4a917980b40b,failed,0,10,1,2026-08-31T21:31:22Z,only_10_lines
4474324d-fc29-44ab-ac6b-ad29c0babae6,failed,0,4,1,2026-08-31T18:31:00Z,only_4_lines
452bd6d1-0b35-4f40-aa51-c0ae49420249,failed,0,8,1,2026-08-31T16:01:07Z,only_8_lines
47cd8fb3-de26-4b09-8e8d-0a17a36ce0d6,failed,0,4,1,2026-08-31T17:00:55Z,only_4_lines
47e93c35-6beb-41fc-bb7f-81c35722ff8d,failed,0,10,1,2026-08-31T21:31:22Z,only_10_lines
483336e7-948a-4f0e-a61d-4151a29c78de,failed,0,8,1,2026-08-31T20:30:49Z,only_8_lines
49a613fe-0291-4b1e-9d57-00c3a580dfe0,failed,0,8,1,2026-08-31T21:00:45Z,only_8_lines
49ff5004-3fea-42cf-8ed9-f8ddb314058f,failed,0,286,1,2026-08-31T19:01:00Z,blocked (cookie/JS wall)
4b41cc6a-c7ca-4364-bf7c-41f6ca98409e,failed,0,30,1,2026-08-31T13:31:31Z,only_30_lines
4d6d9d8d-ef9c-4af6-98d5-d441afd6ea36,ok,21536,267,1,2026-08-31T17:30:48Z,
4e46ef11-a7c5-4895-a907-c2c188d58328,failed,0,10,1,2026-08-31T20:30:49Z,only_10_lines
5046a684-049e-42fa-ad93-7d21aeed4084,failed,0,230,1,2026-08-31T17:30:48Z,blocked (cookie/JS wall)
50f076dc-b912-4d1b-b7d7-59cfb38b5688,failed,0,126,1,2026-08-31T16:01:07Z,posting taken down
51390559-49b8-46aa-8e77-cb2b750241cc,failed,0,4,1,2026-08-31T18:00:50Z,only_4_lines
527e83c9-8667-42c5-ae2d-aa16111a9379,failed,0,11,1,2026-08-31T19:01:00Z,only_11_lines
54a129c8-53ec-4e38-b878-daaaa309f3f7,ok,8364,109,1,2026-08-31T14:00:46Z,
55723c85-bd8c-4d95-be54-2a6851a48b6c,failed,0,46,1,2026-08-31T18:00:50Z,blocked (cookie/JS wall)
56196707-1bc1-44de-9e0e-a32456792771,failed,0,26,1,2026-08-31T15:30:57Z,only_26_lines
5646d793-dc8c-4ff6-82d3-e8d00aa58389,failed,0,158,1,2026-08-31T14:00:46Z,blocked (cookie/JS wall)
567343bb-16d7-4d9d-9b61-18ca665f8a16,failed,0,10,1,2026-08-31T21:31:22Z,only_10_lines
569ed6bf-2af9-475a-a7db-65d129476547,failed,0,3,1,2026-08-31T21:57:50Z,only_3_lines
56cea9ec-cce7-458e-a197-985b6435bd36,ok,11931,122,1,2026-09-01T05:39:09Z,
5862704c-af4b-420f-9538-a27f52a6dc49,failed,0,4,1,2026-08-31T14:31:04Z,only_4_lines
599919c9-248d-495b-a106-81088707bc82,failed,0,4,1,2026-08-31T17:09:24Z,only_4_lines
59b92f0b-36cb-4eb5-9a6c-8f15f9435a83,failed,0,3,1,2026-08-31T20:02:25Z,only_3_lines
5d6c33d1-6d0a-4416-b7d6-c47f481517c5,failed,0,8,1,2026-08-31T21:00:45Z,only_8_lines
5ea98056-c56b-4b75-bc44-d64a3c6c73a3,failed,0,4,1,2026-08-31T16:01:07Z,only_4_lines
5fb362f5-5857-42ff-923b-348eb5582bc7,ok,7540,93,1,2026-08-31T13:31:31Z,
62709f49-dca3-4418-9cbb-85fae7d3b7ce,failed,0,4,1,2026-08-31T18:31:00Z,only_4_lines
63312998-23b7-4617-994a-97b67a1866fb,failed,0,5,1,2026-08-31T15:30:57Z,only_5_lines
6409dda3-9704-4933-a226-3ae46b43d171,failed,0,24,1,2026-08-31T16:01:07Z,only_24_lines
